SupplierProductID,Name,Description,Price,SupplierID
1,"Terra Breeze Detergent","Terra Breeze Liquid dish detergent comes in convenient, 1.6 oz. flip-cap bottles. This product will leave dishes sparkling clean and is ideal for guest use in hotels. Powdered laundry detergent comes in single-use, individually wrapped packs. This high-quality eco-friendly detergent is Perfect for Hotels. Our Terra Breeze Dishwasher Detergent Powder is perfect for guest use. The convenient, single-use packs are a nice touch for guest rooms with a dishwasher. The Terra Breeze formula will leave dishes sparkling clean. All of our lines were created with the environment and well-being of consumers as a top priority. We use vegetable-based formulas enriched with natural and organic ingredients. We assure the satisfaction of you and your guests with any of our lines.",30.00,1
2,"Preformed Coin Wrapper","Keep coins organized with this preformed coin wrapper. Designed to accommodate up to 40 quarters for a total of $10, this item uses 60 lb. grade paper and is color-coded with orange denominations and candy stripes to visually identify its proper function. This convenient product also meets ABA standards to supply you with a convenient wrapper that is bound to increase the efficiency of your coin storage operation. Plus, thanks to its durable double-wrapped kraft construction, this item offers superior security during transport when compared to lighter grade paper options.",30.00,2
3,"2 oz.ALL Stainlifter Powder Laundry Detergent Box","This ALL powder laundry detergent keeps clothes looking their best. Its formula releases a fresh scent into clothing and is great for removing dirt and stains. Plus, each box is small enough to be sold in a vending machine for easy management. This detergent is ideal for use with high efficiency (HE) laundry machines",30.00,3
4,"2 oz. Surf Sparkling Ocean Powder Laundry Detergent","Give patrons at your hotel, laundromat, or apartment complex a convenient way to ensure clean, fresh-smelling laundry with this 2 oz. box of Surf Sparkling Ocean powder laundry detergent! This powder bleach is perfect for removing stains, brightening whites, and eliminating odors to keep you looking and smelling your best from morning to night. This unique, heavy duty detergent attacks stubborn dirt at its core and easily lifts stains in any temperature water. It comes in convenient 2 oz. packs to fit comfortably into vending machines.",30.00,2
5,"2 Count Snuggle Blue Sparkle Dryer Sheet Fabric Softener","Soften and freshen up your laundry with Snuggle Blue Sparkle fabric softener sheets. These fabric softener sheets are guaranteed to leave your clothes fleecy-soft while giving your clothes long lasting freshness and eliminating static cling. This convenient 2 sheet box of Snuggle fabric softener is perfect for single use applications such as laundromats and college campuses. These boxes are small enough to be sold in a vending machine for easy management. Each box is good for one load.",50.00,2
6,"Premium Toilet Paper Family Value Size 360 Sheets","Premium, ultra-soft tissue paper, 2-ply 360 sheets per roll.",20.00,2
7,"Bounty Quick-Size Paper Towels, White","This pack contains 60 more sheets per pack which means 6 extra days worth of paper vs. Bounty Select-A-Size 12 Double Plus Rolls Estimated based on manufacturer data.",20.00,2
8,"LG Signature","Top-Load Electric Dryer Machine",509.78,1
9,Samsung,"7.4 cu. ft. White Gas Dryer with Sensor Dry",411.98,2
10,Amana,"3.5 cu. ft. White Top Load Washing Machine",904.89,3
11,Samsung,"5.0 cu. ft. Hi-Efficiency White Top Load Washing Machine with Active Water Jet.",467.73,3
12,Samsung,"4.2 cu. ft. White Top Load Washing Machine with Stainless Steel Basket.",389.31,5
13,Electrolux,"4.4 cu. ft. Front Load Washer with SmartBoost Technology Steam in Titanium",725.34,3
14,Whirlpool,"4.3 cu. ft. High-Efficiency White Top Load Washing Machine with Quick Wash",421.46,3
